行标签, 求和项:debit , 求和项:credit 
库存现金," 11,539.00 "," 720,311.92 "
代缴代付款, -   ," 39,296.61 "
费用增加-管理费用增加, -   ," 139,782.35 "
费用增加-销售费用增加," 1,695.00 "," 77,383.40 "
付现制造费用, -   ," 10,883.14 "
购入固定资产," 1,610.00 "," 384,614.19 "
收回其他应收款," 8,234.00 ", -   
现金支付应交税费, -   ," 53,385.81 "
支付职工薪酬, -   ," 9,641.64 "
职工薪酬-未通过应付职工薪酬核算, -   ," 5,324.78 "
累计摊销, -   ," 61,096.24 "
无形资产摊销, -   ," 57,425.71 "
无形资产转入投资性房地产, -   ," 3,670.53 "
累计折旧," 228,873.99 "," 1,292,539.47 "
固定资产转入投资性房地产," 228,710.17 ", -   
计提折旧, -   ," 1,292,539.47 "
累计折旧减少, 163.82 , -   
利润分配," 300,000.00 "," -1,178,121.75 "
本年利润结转至利润分配, -   ," 5,821,878.25 "
借方利润分配-非标准-应交税费," 300,000.00 ", -   
未分配利润转增股本, -   ," -7,000,000.00 "
其他应付款," 5,868,664.20 "," 5,702,536.25 "
罚款及赔款, -   ," 10,000.00 "
费用增加-管理费用增加," 18,000.00 "," 513,640.88 "
费用增加-销售费用增加," 5,309.50 "," 145,631.23 "
付现生产成本, -   ," 22,000.00 "
付现制造费用, -   ," 495,573.56 "
购入固定资产, -   ," 37,420.00 "
购入原材料-贷方为其他应付款, -   ," 14,472.15 "
固定资产增加, -   ," 215,188.00 "
借方无形资产-非标准-其他应付款%在建工程, -   ," 41,850.00 "
借方制造费用-非标准-管理费用%银行存款," 2,251.41 ", -   
借方制造费用-非标准-制造费用%银行存款," 24,924.88 ", -   
其他应付款内部结转," 7,800.00 "," 7,800.00 "
应付账款增加," 39,182.50 ", -   
应付账款转入其他应付款, -   ," 4,197,460.43 "
在建工程增加, -   ," 1,500.00 "
支付其他应付款," 5,771,195.91 ", -   
其他应收款," 1,322,930.30 "," 1,350,311.89 "
代缴代付款," 730,813.90 ", -   
费用增加-管理费用增加, 500.00 ," 203,755.42 "
费用增加-销售费用增加, -   ," 114,775.00 "
付现制造费用, 616.40 ," 53,636.00 "
购入固定资产, -   ," 31,125.90 "
收回其他应收款, -   ," 228,234.00 "
员工备用金," 391,000.00 ", -   
支付押金及保证金," 200,000.00 ", -   
支付职工薪酬, -   ," 688,241.43 "
职工薪酬-未通过应付职工薪酬核算, -   ," 30,544.14 "
生产成本," 164,619,523.94 "," 164,619,523.94 "
付现生产成本," 14,102.56 ", -   
计提职工薪酬," 12,027,673.99 ", -   
结转主营业务成本, -   ," 14,102.56 "
领用原材料," 64,625,538.34 ", -   
生产成本内部结转," 82,302,710.69 "," 82,302,710.69 "
职工薪酬-未通过应付职工薪酬核算," 1,151,775.87 ", -   
制造费用结转生产成本," 4,497,722.49 ", -   
自制原材料, -   ," 82,302,710.69 "
税金及附加," 811,196.31 "," 811,196.31 "
计提税金及附加," 811,196.31 ", -   
损益结转至本年利润, -   ," 811,196.31 "
所得税费用," 926,048.50 "," 926,048.50 "
损益结转至本年利润, -   ," 926,048.50 "
支付所得税," 926,048.50 ", -   
委托加工物资," 20,778,558.32 "," 20,949,765.13 "
领用原材料," 20,778,558.32 ", -   
委托加工物资结转原材料, -   ," 20,949,765.13 "
无形资产," 508,794.49 ", -   
购入无形资产," 157,284.17 ", -   
借方无形资产-非标准-其他应付款%在建工程," 351,510.32 ", -   
无形资产摊销未经过累计摊销直接计入管理费用, -   ," 3,670.53 "
无形资产转入投资性房地产, -   ," -3,670.53 "
销售费用," 3,033,445.91 "," 3,033,445.91 "
费用增加-销售费用增加," 2,613,095.33 ", -   
计提职工薪酬," 381,457.10 ", -   
损益结转至本年利润, -   ," 3,033,445.91 "
应收账款减少-转为费用," 2,256.00 ", -   
职工薪酬-未通过应付职工薪酬核算," 36,637.48 ", -   
银行存款," 93,176,984.72 "," 87,615,469.38 "
财务费用-冲减利息收入," 8,346.59 ", -   
财务费用-利息支出, -   ," 111,025.89 "
财务费用-手续费, -   ," 103,667.15 "
偿还短期借款, -   ," 2,500,000.00 "
代缴代付款, -   ," 691,517.29 "
罚款及赔款," 10,000.00 ", -   
费用增加-管理费用增加," 105,327.05 "," 5,167,430.64 "
费用增加-销售费用增加, -   ," 2,253,328.48 "
付现制造费用, -   ," 2,969,189.88 "
购入固定资产, -   ," 120,589.53 "
购入无形资产, -   ," 157,284.17 "
购入原材料, -   ," 3,092,645.44 "
借方制造费用-非标准-管理费用%银行存款, -   ," 9,524.72 "
借方制造费用-非标准-制造费用%银行存款, -   ," 24,924.88 "
取得短期借款," 4,000,000.00 ", -   
确认营业外收入-非政府补助项目," 607,163.22 ", -   
收回其他应收款," 220,000.00 ", -   
现金支付应交税费, -   ," 9,083,460.26 "
应付账款增加," 11,038.48 ", -   
应收票据减少-贴现," 58,024,369.47 ", -   
应收账款贷方不唯一借方-贷方应收账款%银行存款," -68,400.00 ", -   
应收账款减少-收回货币资金," 30,259,139.91 ", -   
员工备用金, -   ," 391,000.00 "
在建工程增加, -   ," 970,225.28 "
支付其他应付款, -   ," 5,771,195.91 "
支付所得税, -   ," 926,048.50 "
支付押金及保证金, -   ," 200,000.00 "
支付应付账款, -   ," 36,214,212.29 "
支付预付款, -   ," 747,700.00 "
支付职工薪酬, -   ," 14,711,999.60 "
职工薪酬-未通过应付职工薪酬核算, -   ," 1,398,499.47 "
营业外收入," 647,163.07 "," 647,163.07 "
固定资产增加, -   ," 39,999.85 "
确认营业外收入-非政府补助项目, -   ," 607,163.22 "
损益结转至本年利润," 647,163.07 ", -   
应付票据, -   ," 4,000,000.00 "
应付账款转入应付票据, -   ," 4,000,000.00 "
应付账款," 58,677,479.56 "," 56,136,685.86 "
材料采购转入应付账款, -   ," 53,615,524.61 "
费用增加-管理费用增加," 16,195.00 "," 666,655.24 "
费用增加-销售费用增加, -   ," 100,636.59 "
付现制造费用, -   ," 411,113.14 "
购入固定资产, -   ," 1,152,000.00 "
购入库存商品, -   ," 3,000.00 "
购入原材料, -   ," 104,335.30 "
借方应付账款-非标准-预付账款," 609,336.59 ", -   
借方制造费用-非标准-管理费用%银行存款," 3,599.31 ", -   
借方制造费用-非标准-制造费用%应交税费," 14,436.40 ", -   
退回固定资产," 11,500.00 ", -   
应付账款增加, -   ," 50,220.98 "
应付账款转入其他应付款," 4,197,460.43 ", -   
应付账款转入应付票据," 4,000,000.00 ", -   
应收票据减少-冲减应付款," 13,610,739.54 ", -   
支付应付账款," 36,214,212.29 ", -   
主营业务成本借方不唯一借方主营业务成本%应交税费-贷方应付账款, -   ," 33,200.00 "
应付职工薪酬," 15,638,823.93 "," 16,218,823.93 "
计提职工薪酬, -   ," 16,218,823.93 "
支付职工薪酬," 15,638,823.93 ", -   
应交税费," 24,135,743.01 "," 24,094,127.77 "
材料采购转入应付账款," 7,708,180.36 ", -   
财务费用-手续费," 4,754.72 ", -   
费用增加-管理费用增加," 111,860.64 ", -   
费用增加-销售费用增加," 28,632.69 ", -   
付现生产成本," 3,196.59 ", -   
付现制造费用," 66,402.19 ", -   
购入固定资产," 173,931.22 ", -   
购入库存商品, 435.90 , -   
购入原材料," 15,159.81 ", -   
购入原材料-贷方为其他应付款," 2,102.79 ", -   
固定资产进项税冲减固定资产原值," 5,038.79 ", -   
固定资产增加," 33,320.00 ", -   
计提税金及附加, -   ," 811,196.31 "
借方利润分配-非标准-应交税费, -   ," 300,000.00 "
借方无形资产-非标准-其他应付款%在建工程," 42,110.68 ", -   
借方制造费用-非标准-制造费用," 31,267.01 ", -   
借方制造费用-非标准-制造费用%应交税费, -203.88 ," 1,042.76 "
确认主营业务收入, -   ," 15,972,210.32 "
退回固定资产, -   ," 1,670.94 "
现金支付应交税费," 9,136,846.07 ", -   
应交税费内部结转," 6,759,969.25 "," 6,759,969.25 "
应收账款减少-转为费用," 3,370.18 ", -   
在建工程进项税冲减在建工程原值, -   , -   
在建工程增加," 4,544.08 ", -   
支付职工薪酬, -   ," 228,941.26 "
职工薪酬-未通过应付职工薪酬核算, -   ," 19,096.93 "
主营业务成本借方不唯一借方主营业务成本%应交税费-贷方应付账款," 4,823.92 ", -   
应收票据," 81,329,617.11 "," 72,218,133.74 "
应收票据减少-冲减应付款, -   ," 13,610,739.54 "
应收票据减少-贴现, -   ," 58,607,394.20 "
应收账款减少-转为应收票据," 81,329,617.11 ", -   
应收账款," 109,876,385.08 "," 111,545,807.78 "
确认主营业务收入," 109,926,385.08 ", -   
应收账款贷方不唯一借方-贷方应收账款%银行存款, -   ," -68,400.00 "
应收账款减少-收回货币资金, -   ," 30,259,139.91 "
应收账款减少-转为费用, -   ," 25,450.76 "
应收账款减少-转为应收票据, -   ," 81,329,617.11 "
应收账款增加-非收入确认," -50,000.00 ", -   
预付款项," 185,763.41 "," 47,400.00 "
借方应付账款-非标准-预付账款," -561,936.59 "," 47,400.00 "
支付预付款," 747,700.00 ", -   
原材料," 88,927,073.51 "," 87,587,404.99 "
购入原材料," 41,771,418.53 ", -   
购入原材料-贷方为其他应付款," 12,369.36 ", -   
结转发出商品, -   ," 1,406,101.45 "
领用原材料, -   ," 86,107,169.71 "
委托加工物资结转原材料," 29,406,145.32 ", -   
主营业务成本借方不唯一借方主营业务成本%发出商品-贷方原材料%库存商品, -   ," 74,133.83 "
自制原材料," 17,737,140.30 ", -   
在建工程," 967,181.20 "," 905,481.48 "
借方无形资产-非标准-其他应付款%在建工程, -   ," 351,771.00 "
在建工程进项税冲减在建工程原值, -   , -   
在建工程增加," 967,181.20 ", -   
在建工程转入固定资产, -   ," 553,710.48 "
制造费用," 4,497,722.49 "," 4,497,722.49 "
付现制造费用," 3,566,300.82 ", -   
购入固定资产," 16,555.51 ", -   
计提折旧," 957,520.60 ", -   
借方制造费用-非标准-管理费用%银行存款," 2,846.00 ", -   
借方制造费用-非标准-制造费用," -31,267.01 ", -   
借方制造费用-非标准-制造费用%管理费用, -466.01 , -   
借方制造费用-非标准-制造费用%银行存款," -20,238.42 ", -   
借方制造费用-非标准-制造费用%应交税费," -13,189.76 ", -   
累计折旧减少, -163.82 , -   
应收账款减少-转为费用," 19,824.58 ", -   
制造费用结转生产成本, -   ," 4,497,722.49 "
主营业务成本," 71,189,903.53 "," 71,189,903.53 "
结转主营业务成本," 71,157,743.51 ", -   
损益结转至本年利润, -   ," 71,189,903.53 "
主营业务成本借方不唯一借方主营业务成本%发出商品-贷方原材料%库存商品," 3,783.94 ", -   
主营业务成本借方不唯一借方主营业务成本%应交税费-贷方应付账款," 28,376.08 ", -   
主营业务收入," 93,954,174.76 "," 93,954,174.76 "
确认主营业务收入, -   ," 93,954,174.76 "
损益结转至本年利润," 93,954,174.76 ", -   
总计," 1,038,943,252.06 "," 1,038,943,789.02 "
